----------------------------------------------------------------------------------------------------------------------------------------------------------------------
ID-EMPLEADO | NOMBRE                    | APELLIDO                  | DIRECCION                                          | COD-POSTAL | TIP-DOC | NRO-DOC  | TELEFONO
12566759    | GARCIA                    | ELIZABETH MARIA           | Rivadavia 301                                      |       1776 | DNI     | 42927231 | 4082-1999
12566762    | PACHAS                    | JUANA BERTHA              | Avda. Independencia 3621                           |       2101 | CI      | 16238677 | 4503-3501
12566764    | FREITAS                   | LUIS ALEJANDRO            | Calle 138 número 1498                              |       8436 | DNI     | 31283387 |
12566766    | DONGO                     | JUAN CARLOS               |  Juan Bautista Alberdi 2923                        |       3538 | DNI     | 19896636 | 4038-7769
12566767    | OVIEDO                    | YOLANDA                   | Roma 3261                                          |       8628 | DNI     | 42143693 |
12566768    | SUING                     | JODY MERCEDES             | Córdoba 2071                                       |       8950 | DNI     | 20688860 |
12566773    | SEGOVIA                   | ALFREDO JAIME             | Avda. Coronel Ramón L. Falcón 331                  |       7536 | DNI     | 46527140 |
12566778    | AYALA                     | ELVIA                     | Avda. 60 nro 352                                   |       7983 | DNI     | 41725307 | 9905-9962
12566779    | GALVAN                    | ROSA CECILIA              | Av. Pte. Dr. Arturo U. Illia 2570                  |       3865 | CI      | 31343889 | 9664-4155
12566780    | BERNAOLA                  | ELZA                      | 25 de Mayo 1199                                    |       2721 | LC      | 21495688 | 4021-3400
12566781    | PINEDA                    | ANTONIETA JANET           | San Martín 455/57                                  |       1787 | LE      | 26967560 | 8886-9780
12566782    | NORTON                    | BRENDA CAROL              | Coronel Brandsen 36                                |       3523 | DNI     | 14500729 | 5752-7599
12566783    | SALAS                     | PATRICIA CAROL            | Calle 15 N° 551                                    |       2606 | CI      | 42887335 | 7004-8827
12566785    | GONZALES                  | MARIA FRANCISCA           | Ldor. Gral. San Martín 1218                        |       1255 | DNI     | 21893448 |
12566786    | ASCURRA                   | PERCY AGUSTIN             | Calle 4 n° 7                                       |       1866 | DNI     | 47999607 | 8176-5293
12566787    | RUIZ                      | ALONSO ALEJANDRO          | Sarmiento 675 - Pergamino                          |       6121 | DNI     | 19021448 | 5041-5030
12566788    | NAVAS                     | ELSA JANET                | Roque Sáenz Peña 938                               |       6975 | CI      | 32815728 |
12566791    | POLLERI                   | NICOLE ADRIANA            | Luro 5832 - M. del Plata                           |       2208 | DNI     | 41198095 | 8158-1110
12566792    | POSADAS                   | JUAN JOSE                 | Avda. Edison 302                                   |       6370 | DNI     | 20354247 | 9518-5828
12566793    | RIVAS                     | ROSANGELA VERONICA        | Emilio Martín Larraya 1100                         |       2258 | DNI     | 44904067 | 5039-4574
12566794    | CACERES                   | ROLANDO                   | Mitre 638                                          |       4908 | DNI     | 49924466 |
12566797    | VELA                      | ISABELITA                 | Calle 14 n° 4465                                   |       1335 | CI      | 21413817 |
12566799    | JACOBE                    | ANDRES ALEJANDRO          | Avda. Gral. San Martín 501                         |       4613 | DNI     | 37841250 | 9903-5429
12566801    | TASAYCO                   | JOSE LUIS                 | Avda. Pellegrini 1474                              |       6020 | DNI     | 15411304 |
12566802    | BERROSPI                  | JAVIER FERNANDO           | Avda. Mitre 198                                    |       1066 | DNI     | 46887825 |
12566803    | MEJORADA                  | MANUEL HERNAN             | Gral. Roca 869                                     |       6156 | DNI     | 45903857 | 7204-640
12566804    | ABARCA                    | GLHINDA MARLENY           | Calle 57 n° 831 entre 11 y 12                      |       8990 | CI      | 36794204 | 6911-4010
12566805    | GUERRA                    | EMMA ELINA                | Calle 4 n° 168                                     |       5739 | DNI     | 27068184 |
12566806    | CASTRO                    | CECILIA YOVANA            | Avda. Ing. A. Roca  152                            |       6512 | DNI     | 16810779 |
12566807    | ESPINOZA                  | MARIA LOURDES             | Avda. Libertad 698                                 |       1049 | DNI     | 16006623 | 9928-1915
12566810    | CASTILLON                 | NESTOR ALCIDES            | Avda. Colón 898                                    |       8778 | DNI     | 18438364 | 4445-7292
12566812    | COA                       | LUCAS                     | Alberto H. Almirón 46                              |       7339 | DNI     | 24788079 | 6714-9596
12566814    | ASTETE                    | ANDRES FRANCISCO          | H. Yrigoyen 400                                    |       7196 | CI      | 34971443 | 7223-114
12566815    | SAMANAMUD                 | FABIAN JOHANN             | Juan B. Alberdi 4775                               |       4927 | LC      | 41336093 | 6955-9928
12566816    | BELLIDO                   | ISELA LILIANA             | 25 de Mayo 325                                     |       7372 | LE      | 40978623 | 7045-1613
12566821    | LOYOLA                    | JUAN MARTIN               | Avda. de los Trabajadores 2977                     |       7600 | DNI     | 44275633 |
12566826    | GALVEZ                    | BENITA                    | Belgrano 49                                        |       7245 | DNI     | 26022742 | 6401-8252
12566827    | LENTA                     | JOSIAH MATTEO             | Avda. Mitre 113                                    |       6644 | DNI     | 39503660 |
12566828    | MEZARINA                  | LUCA TIMOTHY              | Soarez n° 1                                        |       7316 | DNI     | 47246306 | 7037-3485
12566829    | ROBANCHO                  | MARIA PIA                 | Padre Elizalde 445                                 |       1313 | DNI     | 39512084 | 6182-6989
12566830    | ALVAREZ                   | ALEXANDER GEORGE          | Avda. San Martín 194                               |       7363 | DNI     | 40979694 |
12566831    | VIDAL                     | EDGARD GUSTAVO            | Calle 47 n° 901                                    |       1729 | DNI     | 18237757 |
12566833    | SOSA                      | MARIA DE JESUS            | Mitre esq. Guemes                                  |       1467 | DNI     | 49678930 |
12566834    | ALFARO                    | MARIA ROCIO               | San Martín 602/26/34                               |       5457 | DNI     | 44860656 |
12566835    | ANTEZANA                  | ALEXA RAE                 | Sarmiento 101                                      |       2122 | DNI     | 17533982 |
12566836    | CORTEZ                    | SEVASTIAN ISAIAH          | Avda. Julio A. Roca 199                            |       3944 | DNI     | 32275983 | 7138-3792
12566839    | VASQUEZ                   | ALESSANDRO                | Belgrano 199, esquina Gral. Rico                   |       3575 | CI      | 28468343 |
12566840    | ACHA                      | SANDRO PABLO              | Don Bosco 1285 - Bahia Blanca                      |       5333 | DNI     | 22456113 | 9108-9994
12566841    | BARRENECHEA               | FERNANDO                  | Itacumbú 634                                       |       3177 | DNI     | 48349599 | 5400-261
12566842    | DAVILA                    | ANA CECILIA               | La Merced 266                                      |       1133 | DNI     | 16275114 | 9856-6590
12566845    | TORRES                    | MILLIE JANELLE            | Avellaneda 281                                     |       2352 | DNI     | 29006592 | 4656-9034
12566847    | CARRILLO                  | JOSE HUMBERTO             | San Martín 390                                     |       2403 | DNI     | 33504505 | 5977-3211
12566849    | SANTOLALLA                | GABRIELA DENISSE          | Doctor Equiza 4482                                 |       7654 | CI      | 16141544 | 9227-9443
12566850    | CACERES                   | JESSICA ANDREA            | Avda. Mitre 102                                    |       8946 | LC      | 17671159 |
12566851    | VARGAS                    | OLGA VICTORIA             | Sarmiento 386                                      |       6900 | LE      | 17584199 |
12566852    | LUQUE                     | JULIA                     | Carlos Pellegrini 942                              |       5577 | DNI     | 44878384 | 4485-9383
12566853    | MILLA                     | ROSSANA ELIZABETH         | El Callao 1330                                     |       4636 | CI      | 32107318 | 7273-5839
12566854    | ALVAREZ                   | JULIO CESAR               | Ruta Provincial n° 21                              |       6933 | DNI     | 21805487 |
12566855    | VARGAS                    | CARLOS ALEJANDRO          | Rivadavia esq. Almafuerte                          |       5553 | DNI     | 40076500 | 9499-1492
12566858    | MOSCOSO                   | IAN MATHIS                | Bartolomé Mitre 201                                |       7208 | CI      | 33793621 | 8479-9224
12566860    | PACUSSICH                 | ASCENCION                 | Avda. José Altube 1761                             |       4322 | LE      | 26896231 |
12566862    | PECHO                     | FERNANDO                  | San Martín 499                                     |       5635 | DNI     | 26823827 | 4902-1129
12566863    | RIVASPLATA                | SUT LAN                   | Calle 35 n° 1202                                   |       5573 | DNI     | 33442400 |
12566864    | ALARCON                   | CARMEN PATRICIA           | Mayor López 26                                     |       2483 | DNI     | 17406570 |
12566869    | VARGAS                    | DELIA LUCIA               | Avda. Gral. Paz 374                                |       6093 | DNI     | 48589484 | 7580-4802
12566874    | CAJAS                     | DENISE BELINDA            | Salgado y Pte. J. D. Perón                         |       4456 | CI      | 27434613 | 8595-410
12566875    | CARDENAS                  | HUGO ALBERTO              | Luciano Fortabat 1587                              |       4002 | DNI     | 23699691 | 6216-2611
12566876    | TONG                      | RUTH TANIA                | Leandro N. Alem 15                                 |       8743 | DNI     | 21833109 | 7926-7475
12566877    | YUI                       | LEONOR DORIS              | Bmé. Mitre 696                                     |       7823 | DNI     | 49823416 | 5971-6224
12566878    | ECHEVARRIA                | OMAR                      | San Martín 298                                     |       7957 | DNI     | 44960594 | 4390-187
12566879    | FERNANDEZ                 | THIAGO                    | Belgrano 798                                       |       7782 | DNI     | 27053083 | 6549-4182
12566881    | YU                        | VANESSA SAMANTA           | Sarmiento 2068 esq. 25 de Mayo                     |       2231 | DNI     | 16986670 | 7999-9524
12566882    | MOLINA                    | BRENDA YOLIZA             | Avda. Tandil 401                                   |       3022 | DNI     | 14898087 | 6433-4784
12566883    | SIFUENTES                 | ELISA INES                | Roma 3271                                          |       7123 | DNI     | 33845386 |
12566884    | FARJE                     | JORGE EDUARDO             | Avda. Santa Fe 2122                                |       4282 | CI      | 35359613 |
12566887    | SALAS                     | KAREN ANGELICA            | Avda. 26 522                                       |       2325 | DNI     | 29479200 |
12566888    | APARCANA                  | GINO PAOLO                | Dardo Rocha 315                                    |       4636 | CI      | 42668932 | 5961-1574
12566889    | MORON                     | JOSIAH MATTEO             | Petracchi 501                                      |       3326 | DNI     | 29842297 |
12566890    | NUVE                      | LUCA TIMOTHY              | L.N.Alem 158                                       |       2753 | DNI     | 17523291 | 7574-2746
12566893    | FONSECA                   | MARIA DE LOS ANGELES      | Avda. Velez Sarsfield 4571/77                      |       2405 | CI      | 24496283 |
12566895    | ROSALES                   | SAMY ADAM                 | Calle 60 Nº 3002                                   |       7209 | LE      | 27730949 | 7198-4523
12566897    | JAVIER                    | HAYRO GABRIEL             | Avda. Sgto. Cabral 527                             |       6787 | DNI     | 27381206 |
12566898    | RAMIREZ                   | MANUEL ANTONIO            | Avda. La Rioja 1199                                |       3295 | DNI     | 33347338 | 6597-4837
12566899    | VEXLER                    | MARIA CECILIA             | Las Heras 398. Pisos 1° al 4°                      |       5673 | DNI     | 35773501 |
12566900    | DOMINGUEZ                 | PAMELA LESLIE             | V. López 2900                                      |       1800 | DNI     | 30963981 |
12566901    | MIANI                     | DARLING SOFIA             | Avda. Maipu 2499                                   |       2177 | DNI     | 41521580 |
12566902    | HOLGUIN                   | TERESA                    | Josefina Pacheco de Riglos 41                      |       6361 | CI      | 44223130 | 4862-6659
12566903    | LA PORTILLA               | JUAN CARLOS               | Avda. Santamarina 402                              |       7997 | DNI     | 26441612 | 9194-8221
12566906    | GARCIA                    | ANNY IDA                  | Calle 5 Nº 1299                                    |       5294 | DNI     | 29493950 | 5626-9419
12566908    | MONTENEGRO                | ZARA JULIETA              | Avda. Dr. Raúl Manfredi 570                        |       4692 | DNI     | 35305989 | 7470-6895
12566910    | PAICO                     | JORGE                     | Ciudad de Rodez 102                                |       6377 | DNI     | 20889934 | 4110-2546
12566911    | VILCHEZ                   | MANUEL LEONARDO           | Rivadavia 403                                      |       7339 | DNI     | 31937618 | 4996-6210
12566912    | GALARRETA                 | DAVID ANGELO              | Avda. Shaw 156                                     |       1191 | DNI     | 45061738 | 6383-2784
12566917    | SALINAS                   | GENESIS DEZARIE           | Humberto Primo 481                                 |       7989 | DNI     | 28372083 |
12566922    | BARRIENTOS                | YAN PIERRE                | Cnel. Beltrán 133                                  |       3209 | DNI     | 43750300 |
12566923    | ZAVALETA                  | AARON                     | Baron Hirsch 2                                     |       5298 | CI      | 24960260 | 7880-1232
12566924    | LOPEZ                     | BRANDON                   | Avda. S. Martín 301 esq. A.L.Duggan                |       1196 | DNI     | 26443211 | 9922-5549
12566925    | SANCHEZ                   | INGRID                    | Avda. 25 de Mayo 400                               |       4053 | DNI     | 46817542 | 8562-90
12566926    | CALDERON                  | BIANCA CECILIA            | Hipólito Yrigoyen 501                              |       4309 | DNI     | 22343808 |
12566927    | IZQUIERDO                 | DANIEL ALBERTO            | Avda. San Martín 3099                              |       8778 | DNI     | 17405437 | 4506-191
12566929    | MORENO                    | ISABELITA                 | San Pablo 401                                      |       7143 | LC      | 48502597 |
12566930    | DE CAVERO                 | DENISE BELINDA            | Moreno 298                                         |       4111 | LE      | 39113633 |
12566931    | GARCIA                    | HILDA MILAGRITOS          | Alsina 250                                         |       3719 | DNI     | 48715622 | 5284-6415
12566932    | BAZAN                     | RAUL ANGEL JOSE           | Avda. San Martín 398                               |       7847 | DNI     | 23487136 |
12566935    | VILLALOBOS                | LUIS ALEJANDRO            | Arieta 3015                                        |       3940 | DNI     | 41726120 | 9669-3003
12566936    | ARIAS                     | GLORIA MARGARITA          | Mitre 3920 (Calle 54)                              |       1715 | DNI     | 31032083 | 7501-9669
12566937    | CASTRO                    | ROSA ELVIRA               | Avda Pte. Tte. Gral. Perón 1402                    |       3038 | CI      | 38647346 |
12566938    | COLLAZOS                  | RAFAEL                    | Belgrano 101 esq.Sarmiento                         |       4850 | DNI     | 41551535 |
12566941    | ZAMALLOA                  | LEONEL SAUL               | Los Angeles 197                                    |       6685 | DNI     | 20902604 | 6244-3962
12566943    | SORIANO                   | CARMEN ROSA               | Avda. Mitre 2727                                   |       4146 | DNI     | 20099024 | 5100-6086
12566945    | RODRIGUEZ                 | JESSE ALEXANDER           | Santa Fe 450                                       |       4570 | DNI     | 33123254 | 6210-4581
12566946    | CARRANZA                  | JESSICA ANDREA            | Av. Pte. J. D. Perón 1026                          |       5969 | DNI     | 17848942 | 7112-6404
12566947    | PARI                      | LILA CHARLIZE             | Calle 47 Nro. 734                                  |       7993 | DNI     | 49824218 | 4809-6640
12566948    | CASO                      | LUISA ESPERANZA           | Avda. Juan B. Justo 1620                           |       7673 | DNI     | 16189679 | 6604-9859
12566949    | MUÑOZ                     | MILTON ANGELO             | Almirante Brown 612                                |       4038 | DNI     | 21482275 |
12566950    | FOSTER                    | VIVIANA VANESSA           | Acassuso 253                                       |       1889 | DNI     | 21639651 |
12566951    | HIDALGO                   | LILIANA CATALINA          | Gral. Pinto 600                                    |       4081 | DNI     | 46775255 | 8091-101
12566954    | CALDERON                  | SHIRLEY                   | Avenida 7 Nº 900 esq. 523                          |       7855 | CI      | 43611678 | 6564-659
12566956    | CALIZAYA                  | TIMOTEO                   | Bvd. Villegas 501                                  |       6109 | LE      | 44479735 | 6022-2303
12566958    | LEO                       | JENNY ISABEL              | 9 de Julio 502                                     |       1384 | CI      | 14588411 | 7303-9647
12566959    | MORILLA                   | ROXANA MIRTHA             | 25 de Mayo 54                                      |       8531 | DNI     | 34268259 |
12566960    | HERNANDEZ                 | EDUARDO ANGEL             | Rivadavia 204                                      |       7334 | DNI     | 40403695 | 9285-3031
12566965    | RAMIREZ                   | DANIEL FRANCISCO          | Avda. Maipú 742                                    |       6714 | LE      | 16443813 |
12566970    | MILJANOVICH               | ENRIQUE ARTURO            | M. Belgrano 198                                    |       1861 | DNI     | 30571769 |
12566971    | RAGOSTA                   | MYRKA VALERY              | Avda. Crovara 954                                  |       1021 | DNI     | 34029409 |
12566972    | DE LA CRUZ                | NICOLE ADRIANA            | Avda. San Martín 101                               |       7048 | CI      | 35024671 | 7182-7275
12566973    | ZANABRIA                  | LUCY                      | Falucho 185                                        |       4998 | DNI     | 42105925 | 8183-7561
12566974    | ALVAREZ                   | CARMEN PILAR              | Avda. del Libertador Gral.S.Martín 199             |       7049 | DNI     | 34163537 | 5395-4496
12566975    | CASTILLO                  | JORGE JACKSON             | Avellaneda 3315                                    |       6451 | DNI     | 27942611 | 5063-3076
12566977    | OCHARAN                   | ANABEL ALEXANDRA          | Avda. Rivadavia 699                                |       6955 | DNI     | 49548818 | 8939-6921
12566978    | ORTIZ                     | MARY GLADYS               | Diagonal Norte 910                                 |       5943 | DNI     | 42777377 | 8426-5771
12566979    | TEVES                     | MARIA DIONELLA            | Av. Corrientes 1236                                |       8972 | CI      | 22892093 | 5021-1858
12566980    | LORENA                    | MILAGROS GISELLE          | Sarmiento 1490                                     |       3190 | DNI     | 35079418 | 6730-3428
12566983    | VEGA                      | ROSENDO PABLO             | Florida 118                                        |       6254 | DNI     | 39669070 |
12566984    | CIUDAD                    | HIPOLITO ABRIL            | Av. Cordoba 1467                                   |       2765 | DNI     | 17520466 | 6200-3816
12566985    | MATTOS                    | ESTEFANI                  | Florida 52                                         |       5421 | DNI     | 38363207 | 6637-6885
12566986    | HONOR                     | GEANELLA CAROLINE         | Av. Corrientes 484                                 |       1557 | DNI     | 20429715 |
12566989    | HOYOS                     | LISSETTE                  | Av. Santa Fe 1310                                  |       8770 | CI      | 34439767 | 5339-5394
12566991    | SEGURA                    | PATRICE ANNE              | Av. Santa Fe 824                                   |       6687 | LE      | 18279843 | 9026-5494
12566993    | RETAMOZO                  | JULISSA LIZETH            | Libertad 1279                                      |       3158 | CI      | 17443638 | 4215-8268
12566994    | RUIZ                      | GLADYS HORTENCIA          | Av. Rivadavia 364                                  |       8529 | DNI     | 48727267 | 8753-2784
12566995    | SOUQUON                   | JOSE                      | Av. Corrientes 1820                                |       1562 | DNI     | 31127553 |
12566996    | BARCENA                   | MARTHA ANGELICA           | Av, Leandro N. Alem 702                            |       1175 | DNI     | 37315920 |
12566997    | ROJAS                     | YESHICA ROMINA            | Av. Callao 23                                      |       1808 | DNI     | 35377124 | 7315-1645
12566998    | CAMPOS                    | CARLOS ALBERTO            | Av. Cordoba 1861                                   |       2282 | CI      | 28489781 |
12566999    | RONCO                     | ERICK SEBASTIAN           | Av. Entre Rios 196                                 |       1784 | LC      | 35452683 |
12567002    | APARICIO                  | MARIA ELENA               | Alicia M. de Justo 350                             |       7111 | DNI     | 37273581 | 8736-6251
12567004    | PAREDES                   | MARTHA ANGELICA           | Av. Rivadavia 2215                                 |       3542 | DNI     | 22892383 |
12567006    | MOLERO                    | EVARISTA PAULA            | Roberto M. Ortiz 1861                              |       7732 | DNI     | 14904659 | 8051-5735
12567007    | PAREDES                   | ESPERANZA                 | Av. Las Heras 2055                                 |       3483 | CI      | 31916650 | 7637-2406
12567008    | AVENDAÑO                  | IVONNE ELIZABETH          | Juana Manso 1189                                   |       1394 | DNI     | 25148063 | 7713-8314
12567013    | SANDOVAL DE MEZA          | HUGO ANDRES               | Av. Las Heras 2324                                 |       6374 | DNI     | 41875068 | 5365-4451
12567018    | TORRES                    | HECTOR LUIS               | Av. Las Heras 2845                                 |       4593 | DNI     | 30016401 | 8613-7337
12567019    | VASQUEZ                   | JULIO GUILLERMO           | Av. Corrientes 3202                                |       6418 | DNI     | 15946469 |
12567020    | MENDOZA                   | MARIA DEL CARMEN          | Av. San Juan 2701                                  |       6388 | DNI     | 34149521 | 5225-7629
12567021    | RENGIFO                   | HILDA MILAGRITOS          | Av. Rivadavia 310                                  |       6994 | DNI     | 19636088 |
12567022    | LEON VDA DE ZARZOSA       | GABRIELA DENISSE          | Av. Cordoba 3381                                   |       4680 | DNI     | 14037091 | 5132-1304
12567023    | SALCEDO                   | MARIA ESTHER              | Republica Dominicana 3358                          |       2427 | DNI     | 30647521 | 7363-8764
12567025    | SIMMONS                   | LUCINDA MARGOT            | Montes de Oca 894                                  |       8320 | LC      | 48570315 |
12567026    | BARTUREN                  | MARIA ELENA               | Scalabrini Ortiz 3149                              |       6040 | LE      | 48162225 | 6445-5276
12567027    | SILVA                     | OBDULIA                   | Esteban Adrogué 1052 / 58                          |       4954 | DNI     | 20183791 | 8650-1747
12567028    | ECHEVARRIA                | RICHARD ENRIQUE           | Silverio Almiró 21 / 29                            |       7680 | CI      | 29792360 |
12567031    | UNTIVEROS                 | GUILLERMO ANTONIO         | Au. Tte. Gral. Pablo Riccheri Km 33,5              |       4470 | DNI     | 28967438 |
12567032    | CONDORI                   | CESAR FERNANDO            | Avda. Independencia 3621                           |       5659 | DNI     | 41503928 |
12567033    | GONZALES                  | ANDRES                    | Avda. Eugenia Tapia de Cruz 28                     |       1643 | CI      | 28477347 |
12567034    | DAVILA                    | SUSANA MAGDALENA          | Calle 138 número 1498                              |       8402 | LC      | 33136646 | 7642-5289
12567037    | ZUTA                      | CAROLA KARINA             | Roma 3261                                          |       1701 | DNI     | 42199040 |
12567039    | PLACENCIA                 | JUSTINIANO NICANOR        | Avda.Victorica 875                                 |       2507 | DNI     | 37633341 | 7492-6393
12567041    | SADOWSKY                  | MICHELLE CHRISTINE        | Intendente Campos 1626/34                          |       6892 | DNI     | 17692077 | 6053-8144
12567042    | CORONEL                   | YASMINE ALEXIS            | Muñoz 1576                                         |       7653 | CI      | 38130433 | 9062-6666
12567043    | PINEDA                    | AURELIO SEGUNDINO         | Avda. Coronel Ramón L. Falcón 331                  |       4808 | DNI     | 38655819 | 9062-6235
12567044    | PACCHIONI                 | ROXANA CONSUELO           | Avda. Daniel M. Cazón 185                          |       6596 | DNI     | 35817350 | 6833-2454
12567045    | ROMERO DE RIOS            | CARLOS ALBERTO            | Ricardo Gutiérrez 498                              |       1730 | DNI     | 29030272 | 9010-499
12567046    | ALEGRE                    | LUCY ELENA                | Avda. Mitre 399                                    |       7777 | DNI     | 41827335 | 5599-2508
12567047    | LOARTE                    | LUCINDA MARGOT            | Avda. 13 n° 115                                    |       7499 | DNI     | 46504570 | 8179-3571
12567050    | BENAVENTE                 | BLANCA IRIS               | 25 de Mayo 1199                                    |       4816 | DNI     | 30259194 | 6742-307
12567052    | DAVILA                    | FIORELLA SUZANNE          | Coronel Brandsen 36                                |       7805 | DNI     | 40170287 |
12567054    | NEIRA                     | JOSE FREDDY               | Alsina 638                                         |       5887 | DNI     | 31857898 |
12567055    | SALAS                     | MANUEL HERNAN             | Ldor. Gral. San Martín 1218                        |       2405 | DNI     | 31587716 | 9672-5680
12567056    | CAPUCHO                   | YESSICA                   | Calle 4 n° 7                                       |       5171 | DNI     | 42032126 | 8421-8028
12567061    | CAHUA                     | JHONNY BEJER              | Luro 5832 - M. del Plata                           |       2695 | LE      | 41615146 |
12567066    | VARGAS                    | CAROLINE                  | Avda. Santana E. Zabalza 1                         |       8675 | DNI     | 36435369 |
12567067    | ZARATE                    | PERCY ESTUARDO            | Calle 14 n° 4465                                   |       1999 | DNI     | 24615738 | 8408-2914
12567068    | CASTRO                    | ISELA LILIANA             | Avda. San Martín 464                               |       1243 | CI      | 44272928 | 5931-2776
12567069    | ESPINOZA                  | CIRILO ALFONSO            | Avda. Gral. San Martín 501                         |       5133 | LC      | 33492782 |
12567070    | GIRON                     | NORMAN BRUCE              | Avda. A.Sáenz 2099                                 |       2372 | LE      | 19193974 |
12567071    | VARA                      | ALDO JOSE                 | Avda. Pellegrini 1474                              |       5548 | DNI     | 30757120 | 7882-9468
12567073    | VARGAS                    | MARIA LAURA               | Gral. Roca 869                                     |       3926 | DNI     | 49014021 | 6991-5807
12567074    | CASTAÑEDA                 | RAUL ABSALON              | Calle 57 n° 831 entre 11 y 12                      |       3238 | DNI     | 25952546 | 4821-9401
12567075    | TRAGODARA                 | ALEXIA                    | Calle 4 n° 168                                     |       4780 | DNI     | 25314839 | 8077-7297
12567076    | LEYVA                     | NICOLAS MARIANO           | Avda. Ing. A. Roca  152                            |       7536 | DNI     | 16062126 | 9399-6563
12567079    | NUÑEZ                     | KAREN ROSSE               | Avda. Pte. J. D. Perón 402                         |       2500 | DNI     | 36504690 | 7605-610
12567080    | BURNEO                    | RICARDO ALEX              | Avda. Colón 898                                    |       3066 | DNI     | 25465365 | 7211-56
12567081    | DELLY                     | VICTOR                    | Avda. San Martín 150                               |       5285 | DNI     | 20780958 |
12567082    | NUÑEZ                     | JOHANA LUCILA             | Alberto H. Almirón 46                              |       4884 | DNI     | 18139525 |
12567085    | MONTALVO                  | DAVID GABRIEL             | Juan B. Alberdi 4775                               |       7292 | DNI     | 42675801 |
